scenario_source,scenario,sector,technology,region,year,smsp,tmsr
pdp8_2023,pdp8_ndc,power,coalcap,vietnam,2025,0.32,1
pdp8_2023,pdp8_ndc,power,coalcap,vietnam,2026,0.31,1
pdp8_2023,pdp8_ndc,power,coalcap,vietnam,2027,0.3,0.97
pdp8_2023,pdp8_ndc,power,coalcap,vietnam,2028,0.29,0.94
pdp8_2023,pdp8_ndc,power,coalcap,vietnam,2029,0.28,0.9
pdp8_2023,pdp8_ndc,power,coalcap,vietnam,2030,0.26,0.87
pdp8_2023,pdp8_ndc,power,gascap,vietnam,2025,0.12,1
pdp8_2023,pdp8_ndc,power,gascap,vietnam,2026,0.13,1.12
pdp8_2023,pdp8_ndc,power,gascap,vietnam,2027,0.14,1.28
pdp8_2023,pdp8_ndc,power,gascap,vietnam,2028,0.15,1.46
pdp8_2023,pdp8_ndc,power,gascap,vietnam,2029,0.16,1.65
pdp8_2023,pdp8_ndc,power,gascap,vietnam,2030,0.17,1.88
pdp8_2023,pdp8_ndc,power,hydrocap,vietnam,2025,0.26,1
pdp8_2023,pdp8_ndc,power,hydrocap,vietnam,2026,0.25,1
pdp8_2023,pdp8_ndc,power,hydrocap,vietnam,2027,0.24,1.02
pdp8_2023,pdp8_ndc,power,hydrocap,vietnam,2028,0.23,1.04
pdp8_2023,pdp8_ndc,power,hydrocap,vietnam,2029,0.22,1.05
pdp8_2023,pdp8_ndc,power,hydrocap,vietnam,2030,0.21,1.07
pdp8_2023,pdp8_ndc,power,renewablescap,vietnam,2025,0.26,1
pdp8_2023,pdp8_ndc,power,renewablescap,vietnam,2026,0.28,1.18
pdp8_2023,pdp8_ndc,power,renewablescap,vietnam,2027,0.3,1.4
pdp8_2023,pdp8_ndc,power,renewablescap,vietnam,2028,0.31,1.65
pdp8_2023,pdp8_ndc,power,renewablescap,vietnam,2029,0.32,1.95
pdp8_2023,pdp8_ndc,power,renewablescap,vietnam,2030,0.34,2.3
pdp8_2023,pdp8_ndc,power,oilcap,vietnam,2025,0.04,1
pdp8_2023,pdp8_ndc,power,oilcap,vietnam,2026,0.03,0.9
pdp8_2023,pdp8_ndc,power,oilcap,vietnam,2027,0.02,0.8
pdp8_2023,pdp8_ndc,power,oilcap,vietnam,2028,0.02,0.75
pdp8_2023,pdp8_ndc,power,oilcap,vietnam,2029,0.02,0.7
pdp8_2023,pdp8_ndc,power,oilcap,vietnam,2030,0.02,0.65
pdp8_2023,pdp8_ndc,automotive,ice,vietnam,2025,0.95,1
pdp8_2023,pdp8_ndc,automotive,ice,vietnam,2026,0.91,1.0042
pdp8_2023,pdp8_ndc,automotive,ice,vietnam,2027,0.85,0.9813
pdp8_2023,pdp8_ndc,automotive,ice,vietnam,2028,0.78,0.9535
pdp8_2023,pdp8_ndc,automotive,ice,vietnam,2029,0.7,0.9032
pdp8_2023,pdp8_ndc,automotive,ice,vietnam,2030,0.6,0.8149
pdp8_2023,pdp8_ndc,automotive,electric,vietnam,2025,0.02,1
pdp8_2023,pdp8_ndc,automotive,electric,vietnam,2026,0.05,2.621
pdp8_2023,pdp8_ndc,automotive,electric,vietnam,2027,0.09,4.9355
pdp8_2023,pdp8_ndc,automotive,electric,vietnam,2028,0.14,8.129
pdp8_2023,pdp8_ndc,automotive,electric,vietnam,2029,0.2,12.2581
pdp8_2023,pdp8_ndc,automotive,electric,vietnam,2030,0.28,18.0645
pdp8_2023,pdp8_ndc,automotive,hybrid,vietnam,2025,0.03,1
pdp8_2023,pdp8_ndc,automotive,hybrid,vietnam,2026,0.04,1.3978
pdp8_2023,pdp8_ndc,automotive,hybrid,vietnam,2027,0.06,2.1935
pdp8_2023,pdp8_ndc,automotive,hybrid,vietnam,2028,0.08,3.0968
pdp8_2023,pdp8_ndc,automotive,hybrid,vietnam,2029,0.1,4.086
pdp8_2023,pdp8_ndc,automotive,hybrid,vietnam,2030,0.12,5.1613
steps_2023,steps,power,coalcap,vietnam,2025,0.32,1
steps_2023,steps,power,coalcap,vietnam,2026,0.32,1.02
steps_2023,steps,power,coalcap,vietnam,2027,0.31,1.03
steps_2023,steps,power,coalcap,vietnam,2028,0.3,1.04
